H1.1,H2.1,H3.1,H4.1,H5.1,H6.1
CTPS1,247,36,39,19,434,105
SLFNL1-AS1,3,0,0,1,7,2
SLFNL1,0,0,0,0,1,0
SCMH1,10,22,4,2,93,31
FOXO6,1,2,1,0,0,3
FOXO6-AS1,0,0,0,0,0,1
EDN2,1,0,1,0,0,0
HIVEP3,35,14,12,1,93,40
GUCA2B,0,0,0,0,0,0
GUCA2A,0,0,0,0,0,0
FOXJ3,52,20,15,7,138,58
RIMKLA,0,0,1,0,0,2
ZMYND12,0,0,0,0,2,0
CCDC30,1,0,2,0,5,0
PPCS,320,95,103,32,569,224
PPIH,90,67,46,7,295,99
YBX1,3693,2683,1463,361,8355,3079
CLDN19,0,0,0,0,1,0
P3H1,400,146,55,38,885,324
C1orf50,129,41,52,13,228,91
TMEM269-DT,0,0,0,0,0,0
TMEM269,0,0,0,0,0,1
SVBP,168,94,51,9,350,129
ERMAP,31,10,6,2,44,18
ZNF691,25,9,7,1,42,11
LOC339539,0,0,0,0,0,0
SLC2A1,421,103,60,60,157,512
SLC2A1-AS1,4,0,1,1,1,4
FAM183A,1,0,0,0,1,0
EBNA1BP2,328,158,126,44,626,214
MIR6733,0,0,0,0,0,0
CFAP57,6,0,4,0,1,1
TMEM125,4,0,0,0,1,0
C1orf210,0,0,0,0,0,0
TIE1,0,1,0,0,0,0
MPL,1,0,0,0,0,2
CDC20,6,43,3,0,4,0
ELOVL1,245,139,97,30,441,172
MIR6734,0,0,0,0,0,0
MED8,271,115,126,30,608,180
SZT2,21,13,3,2,61,22
SZT2-AS1,0,0,0,0,1,0
MIR6735,0,0,0,0,0,0
HYI,137,44,32,10,294,117
PTPRF,64,56,27,12,402,129
KDM4A,77,30,17,7,162,45
KDM4A-AS1,4,0,1,1,3,0
ST3GAL3,20,11,3,2,54,17
LOC101929592,0,0,0,0,0,0
MIR6079,0,0,0,0,0,0
ARTN,0,7,0,1,6,0
IPO13,43,13,4,8,143,42
DPH2,62,26,19,3,116,35
ATP6V0B,1227,422,907,204,3792,1371
B4GALT2,198,80,37,11,545,139
CCDC24,11,5,9,0,50,15
SLC6A9,54,24,7,8,110,52
KLF17,0,1,0,0,0,0
KLF18,0,0,0,0,0,0
DMAP1,114,49,36,13,230,75
ERI3,204,134,77,21,505,226
ERI3-IT1,0,0,0,0,0,0
SNORA110,0,0,0,0,0,0
RNF220,41,17,8,5,69,28
MIR5584,0,0,0,0,0,0
TMEM53,12,7,10,2,54,28
SNORD145,0,0,0,0,0,0
ARMH1,1,3,0,0,4,4
RNU5F-1,0,0,0,0,0,0
RNU5D-1,0,0,0,0,0,0
KIF2C,1,9,0,0,1,0
SNORD160,0,0,0,0,0,0
RPS8,4300,5156,1781,384,12875,7361
SNORD55,0,0,0,0,0,0
SNORD46,0,0,0,0,0,0
SNORD38A,0,0,0,0,0,0
SNORD38B,0,0,0,0,0,0
BEST4,1,0,0,0,3,1
PLK3,135,50,47,18,326,132
TCTEX1D4,0,0,0,0,1,1
BTBD19,0,2,1,0,3,0
PTCH2,1,3,2,0,7,4
EIF2B3,93,22,26,8,162,56
HECTD3,20,10,2,0,29,20
UROD,242,114,87,27,484,201
ZSWIM5,1,0,0,0,0,0
LINC01144,0,0,0,0,1,1
HPDL,1,0,0,0,3,1
MUTYH,23,14,3,2,39,14
TOE1,27,11,34,4,49,27
TESK2,4,1,1,0,13,0
CCDC163,3,0,2,0,27,12
MMACHC,9,1,1,1,10,4
PRDX1,2448,1365,1935,416,11783,3841
AKR1A1,368,166,141,38,811,421
NASP,104,90,58,12,207,91
CCDC17,0,1,0,0,2,4
GPBP1L1,119,41,30,9,260,104
RPS15AP10,15,6,3,0,11,20
TMEM69,25,30,10,5,125,47
IPP,41,16,23,2,93,33
MAST2,48,22,11,5,134,41
LOC110117498-PIK3R3,0,0,0,0,0,0
PIK3R3,3,3,0,2,2,3
LOC101929626,1,0,0,0,0,0
TSPAN1,5,3,1,2,5,1
P3R3URF,0,0,0,0,0,0
POMGNT1,131,56,30,17,285,108
LURAP1,4,10,0,0,4,4
RAD54L,1,3,0,0,0,1
LRRC41,202,120,59,31,510,157
UQCRH,1683,1038,713,208,4560,1882
NSUN4,45,18,12,2,81,22
FAAH,0,2,0,0,10,2
FAAHP1,0,1,0,0,6,1
LINC01398,0,0,0,0,0,0
DMBX1,0,0,0,0,0,0
TMEM275,0,0,0,0,0,0
MKNK1-AS1,0,0,0,0,0,0
KNCN,0,0,0,0,0,0
MKNK1,29,17,13,5,91,24
MOB3C,7,4,0,3,38,7
ATPAF1,98,27,14,4,130,48
TEX38,0,0,0,0,0,0
EFCAB14-AS1,0,0,0,0,0,0
EFCAB14,87,52,31,12,223,83
CYP4B1,0,0,0,0,0,0
CYP4Z2P,0,0,0,0,0,0
CYP4A11,0,0,0,0,0,0
CYP4X1,0,0,0,0,0,0
CYP4Z1,0,0,0,0,0,0
CYP4A22,0,0,0,0,0,0
LINC00853,1,2,0,1,1,1
PDZK1IP1,1,0,0,0,5,0
TAL1,40,0,0,0,0,0
STIL,7,2,1,1,15,2
CMPK1,508,196,117,51,1064,430
LINC01389,0,0,1,0,0,0
FOXE3,0,0,0,0,0,0
FOXD2-AS1,2,1,1,0,0,0
FOXD2,0,0,0,0,0,0
TRABD2B,0,1,0,0,303,19
SKINT1L,0,0,0,0,0,0
SLC5A9,0,0,0,0,0,0
SPATA6,7,6,8,0,15,5
AGBL4,0,0,0,0,0,0
BEND5,2,16,0,0,6,7
AGBL4-AS1,0,0,0,0,0,0
AGBL4-IT1,0,0,0,0,0,0
ELAVL4,0,0,0,0,0,0
DMRTA2,1,0,1,0,0,1
FAF1,75,35,27,2,105,33
CDKN2C,1,8,10,0,3,2
MIR4421,0,0,0,0,0,0
MIR6500,0,0,0,0,0,0
C1orf185,0,0,0,0,0,0
LINC01562,0,1,0,0,0,1
RNF11,254,59,101,26,485,228
TTC39A,11,0,10,0,2,0
TTC39A-AS1,0,0,0,0,0,0
EPS15,201,50,26,4,99,90
CALR4P,0,0,0,0,0,0
OSBPL9,257,86,48,9,321,123
NRDC,301,90,84,29,670,173
MIR761,0,0,0,0,0,0
RAB3B,323,112,84,67,457,149
TXNDC12,420,101,154,31,768,266
KTI12,0,0,0,0,0,0
TXNDC12-AS1,0,0,0,0,0,0
BTF3L4,593,260,212,58,1413,734
ZFYVE9,40,13,14,4,90,27
CC2D1B,33,14,10,5,73,39
ORC1,1,2,0,1,5,0
PRPF38A,91,44,22,4,162,58
TUT4,153,40,44,13,269,73
GPX7,204,7,20,20,197,52
SHISAL2A,0,0,0,0,0,0
COA7,55,25,26,7,138,35
ZYG11B,82,41,30,14,216,92
ZYG11A,1,1,1,0,0,0
ECHDC2,162,2,9,15,211,118
SCP2,523,202,115,43,2161,557
PODN,40,8,0,0,251,3
SLC1A7,1,0,0,0,55,0
CPT2,53,20,7,4,78,17
CZIB,182,106,56,16,429,192
MAGOH,240,116,124,26,836,309
LOC100507564,6,0,0,0,5,7
LRP8,4,3,3,4,40,9
LINC01771,0,0,0,0,0,0
SLC25A3P1,0,0,0,0,0,0
DMRTB1,0,0,0,0,0,0
GLIS1,44,2,4,4,11,19
NDC1,26,13,2,3,58,24
YIPF1,52,33,26,10,178,74
DIO1,0,0,0,0,0,1
HSPB11,140,83,43,19,391,208
LRRC42,156,72,66,11,370,120
LDLRAD1,0,0,0,0,0,0
TMEM59,1443,536,506,190,7131,1822
TCEANC2,20,6,7,0,28,7
MIR4781,0,0,0,0,0,0
CDCP2,0,0,1,0,0,0
CYB5RL,11,8,6,0,22,4
MRPL37,207,120,93,15,613,205
SSBP3,52,42,18,4,231,87
SSBP3-AS1,0,0,0,0,0,0
ACOT11,2,1,3,0,7,3
FAM151A,0,0,0,0,0,0
MROH7,0,0,0,0,0,0
MROH7-TTC4,0,0,0,0,0,0
TTC4,18,2,4,1,23,1
PARS2,13,8,12,0,24,10
TTC22,0,0,0,0,0,0
LEXM,0,0,0,0,0,0
DHCR24,84,30,21,9,106,57
TMEM61,0,0,0,0,1,1
BSND,0,0,0,0,0,0
PCSK9,3,1,0,0,3,6
USP24,41,21,15,7,104,15
LOC100507634,0,0,1,0,1,0
MIR4422HG,0,0,0,0,0,0
MIR4422,0,0,0,0,0,0
LINC01753,0,0,0,0,0,0
LINC01755,0,0,0,0,0,0
LINC01767,0,0,0,0,0,0
PLPP3,0,34,0,1,366,26
LOC101929935,0,0,0,0,0,0
PRKAA2,14,2,13,0,8,13
FYB2,0,0,0,0,0,1
C8A,0,0,0,0,0,0
C8B,0,0,0,0,0,0
DAB1,0,0,0,0,35,4
DAB1-AS1,0,0,0,0,0,0
OMA1,46,37,6,4,116,39
TACSTD2,29,0,0,0,0,35
MYSM1,39,25,27,5,117,56
JUN,615,344,207,72,1036,638
LINC01135,0,0,0,0,0,0
LINC01358,0,0,0,0,0,0
HSD52,0,0,0,0,0,0
FGGY,9,15,4,2,42,18
MIR4711,0,0,0,0,0,0
LOC101926944,0,0,0,0,0,0
HOOK1,0,0,2,0,0,1
CYP2J2,0,0,0,0,0,2
C1orf87,0,0,0,0,0,0
LINC01748,0,0,0,0,0,0
LOC101926964,0,0,0,0,0,0
NFIA-AS2,0,0,0,0,0,0
NFIA,28,20,4,2,45,56
NFIA-AS1,0,0,0,0,0,0
MGC34796,0,0,0,0,0,1
TM2D1,404,132,110,40,902,510
PATJ,19,4,6,2,8,11
MIR12132,0,0,0,0,0,0
MIR3116-1,0,0,0,0,0,0
MIR3116-2,0,0,0,0,0,0
L1TD1,0,1,0,0,2,0
KANK4,0,0,0,0,22,1
USP1,135,40,52,6,160,61
DOCK7,212,56,27,13,241,103
ANGPTL3,0,0,0,0,0,0
ATG4C,35,18,7,8,54,16
LINC01739,0,0,0,0,0,0
LINC00466,0,0,0,0,0,0
FOXD3-AS1,0,0,5,0,1,0
FOXD3,0,0,3,0,0,0
MIR6068,0,0,0,0,0,0
ALG6,16,15,10,2,62,46
ITGB3BP,69,38,30,5,74,116
EFCAB7,15,7,5,0,33,15
DLEU2L,0,0,0,0,2,1
PGM1,217,81,32,17,377,200
ROR1,137,40,23,8,43,67
ROR1-AS1,0,0,2,0,0,0
UBE2U,0,0,0,0,0,1
CACHD1,11,6,2,2,60,21
MIR4794,0,0,0,0,0,0
RAVER2,11,4,15,0,67,9
JAK1,329,182,108,25,1492,379
LINC01359,0,0,0,0,0,1
MIR3671,0,0,0,0,0,0
MIR101-1,0,0,0,0,0,0
AK4,32,55,19,1,82,141
DNAJC6,6,1,3,4,7,7
LEPR,20,8,8,3,23,20
LEPROT,1000,393,264,113,1256,595
PDE4B,4,4,12,1,23,2
PDE4B-AS1,0,0,0,0,0,0
SGIP1,10,0,3,6,2,18
MIR3117,0,0,0,0,0,0
TCTEX1D1,0,0,1,0,1,1
INSL5,0,0,0,0,0,0
WDR78,9,5,3,3,8,9
MIER1,393,98,118,19,328,171
SLC35D1,15,10,8,0,90,27
C1orf141,0,0,0,0,0,0
IL23R,0,0,0,0,0,0
IL12RB2,0,0,0,0,0,0
SERBP1,1143,546,316,103,1757,617
GADD45A,1454,248,680,152,2599,717
GNG12,298,184,158,47,705,321
GNG12-AS1,1,1,1,0,1,1
DIRAS3,3,1,5,0,19,60
WLS,211,137,73,81,1382,287
MIR1262,0,0,0,0,0,0
RPE65,0,0,0,0,0,0
DEPDC1,1,6,1,0,1,0
DEPDC1-AS1,0,0,3,0,0,0
LINC01707,0,0,0,0,1,0
LINC01758,0,0,0,0,0,0
LRRC7,6,0,20,0,1,2
PIN1P1,0,0,0,0,0,0
LRRC40,32,25,15,4,75,18
SRSF11,648,266,265,57,1501,577
ANKRD13C,45,24,17,5,143,41
HHLA3,67,31,16,4,112,40
CTH,9,9,14,0,107,45
LINC01788,1,0,0,1,0,0
PTGER3,2,0,1,1,3,1
ZRANB2-AS1,0,0,0,0,0,0
ZRANB2,317,106,113,20,385,190
MIR186,0,0,0,0,0,0
ZRANB2-AS2,4,1,1,0,6,2
NEGR1,44,5,3,2,30,27
NEGR1-IT1,0,0,0,0,0,0
LINC01360,0,0,0,0,0,0
LINC02238,0,0,0,0,0,0
LRRIQ3,0,1,0,0,0,2
FPGT,9,9,0,0,11,38
FPGT-TNNI3K,0,0,0,0,0,0
TNNI3K,0,0,0,0,0,0
LRRC53,0,0,0,0,0,0
ERICH3,0,0,0,0,0,0
ERICH3-AS1,0,0,0,0,0,0
CRYZ,50,18,2,6,149,75
TYW3,168,80,25,11,263,113
LHX8,83,0,1,4,28,0
SLC44A5,0,0,0,0,2,1
ACADM,166,42,27,11,161,91
DLSTP1,1,0,0,0,2,1
RABGGTB,133,94,56,22,506,226
SNORD45C,0,0,0,0,0,0
SNORD45A,0,0,0,0,0,0
SNORD45B,0,0,0,0,0,0
MSH4,0,1,0,0,0,0
ASB17,0,0,0,0,0,0
LOC101927342,0,0,0,0,0,1
ST6GALNAC3,2,1,1,0,2,2
LINC02567,0,0,0,0,0,0
ST6GALNAC5,27,4,10,4,217,42
MIR7156,0,0,0,0,0,0
PIGK,84,50,13,7,178,96
AK5,13,15,0,2,3,4
ZZZ3,88,48,27,6,176,86
USP33,109,53,32,6,255,105
MIGA1,106,32,12,10,159,72
NEXN-AS1,14,6,6,2,15,6
NEXN,1702,221,224,113,1063,305
FUBP1,133,41,43,7,215,85
DNAJB4,218,232,97,33,1032,544
GIPC2,1,5,1,0,1,7
MGC27382,0,0,0,0,0,0
PTGFR,1,30,1,2,5,18
IFI44L,1,25,0,0,3,20
IFI44,4,12,4,1,4,6
ADGRL4,36,0,5,3,101,50
LINC01781,0,0,0,0,0,0
ADGRL2,48,25,3,6,135,39
LOC101927434,0,0,0,0,0,0
LINC01362,0,0,0,0,0,0
LINC01361,0,0,0,0,0,0
LINC01712,0,0,0,0,0,0
LINC01725,0,0,0,0,0,0
LOC101927560,0,0,0,0,0,0
TTLL7,32,24,19,7,81,24
PRKACB,70,35,18,5,170,74
SAMD13,5,6,0,0,6,4
UOX,0,0,0,0,0,0
DNASE2B,0,0,0,0,0,0
RPF1,109,49,65,15,238,92
GNG5,2013,936,865,217,5197,2099
SPATA1,0,1,0,0,1,3
CTBS,72,65,28,8,216,98
LINC01461,0,0,0,0,0,0
LINC01555,0,0,0,0,0,0
SSX2IP,27,10,14,4,60,24
LPAR3,0,0,0,0,3,0
MCOLN2,2,0,0,0,9,0
MCOLN3,1,1,0,0,1,4
WDR63,7,1,0,1,9,7
MIR4423,0,0,0,0,0,0
SYDE2,87,5,16,10,75,15
C1orf52,343,103,128,43,715,250
BCL10,142,68,67,25,246,232
LOC646626,1,2,1,0,0,4
DDAH1,338,79,59,28,382,245
CCN1,1599,858,282,98,1905,627
ZNHIT6,79,37,28,5,99,35
COL24A1,3,6,1,3,6,7
ODF2L,87,29,37,3,159,65
MIR7856,0,0,0,0,0,0
CLCA2,0,0,0,0,9,3
CLCA1,0,0,0,0,0,0
CLCA4,0,0,0,0,0,0
CLCA4-AS1,5,0,6,1,14,1
CLCA3P,0,0,0,0,0,0
SH3GLB1,760,263,175,76,1378,535
SELENOF,504,308,162,51,2015,787
HS2ST1,50,20,4,15,203,76
LINC01140,0,1,0,0,0,1
LINC02801,0,0,0,0,0,0
LMO4,136,124,40,19,2252,512
LINC01364,0,0,0,0,0,0
PKN2-AS1,4,1,1,1,7,0
PKN2,171,59,70,15,424,167
GTF2B,160,63,91,15,398,117
KYAT3,67,22,20,4,105,90
RBMXL1,26,7,7,4,29,18
GBP3,79,19,7,3,15,30
GBP1,38,46,2,1,149,50
GBP2,1,10,0,0,21,9
GBP7,0,0,0,0,0,0
GBP4,0,1,0,0,7,1
GBP5,0,0,0,0,0,0
LOC729930,0,0,0,0,0,0
GBP6,0,0,0,0,0,0
GBP1P1,0,0,0,0,0,0
LRRC8B,5,1,2,0,2,8
LRRC8C-DT,0,1,0,0,0,1
LRRC8C,2,3,1,1,5,12
LRRC8D,13,22,15,3,216,68
GEMIN8P4,2,0,0,0,4,0
ZNF326,110,54,47,8,285,82
SNORD3G,0,0,0,0,0,0
BARHL2,0,0,0,0,0,0
LINC02609,2,9,0,0,42,5
LINC01763,0,0,0,0,0,0
ZNF644,133,79,65,13,348,112
HFM1,0,0,0,0,0,0
CDC7,4,3,1,0,21,6
TGFBR3,3,3,2,1,31,20
BRDT,0,0,0,0,0,0
EPHX4,3,1,16,4,1,21
SETSIP,2,1,2,0,0,0
BTBD8,3,0,0,1,3,1
KIAA1107,6,1,2,0,18,3
C1orf146,0,0,0,0,0,0
GLMN,32,17,12,6,94,23
RPAP2,131,37,42,11,188,41
GFI1,0,0,0,0,0,0
EVI5,206,46,185,22,778,162
RPL5,3691,3847,1764,315,11671,5483
DIPK1A,9,4,2,1,60,15
SNORD21,0,0,0,0,0,0
SNORA66,0,0,0,0,0,0
MTF2,87,24,32,6,120,45
TMED5,174,63,104,14,552,150
CCDC18,12,12,5,1,20,6
CCDC18-AS1,53,20,12,2,167,47
DR1,248,86,65,18,455,151
FNBP1L,303,61,65,11,245,106
BCAR3,58,65,18,10,297,86
BCAR3-AS1,0,0,0,0,0,0
MIG7,0,0,0,0,1,0
MIR760,0,0,0,0,0,0
DNTTIP2,247,76,141,22,410,95
GCLM,111,98,114,16,632,822
ABCA4,1,0,0,1,2,8
ARHGAP29,214,228,85,8,146,357
ABCD3,65,31,17,15,293,78
F3,5,9,1,3,2209,156
MIR12133,0,0,0,0,0,0
SLC44A3-AS1,0,4,0,0,13,3
MIR378G,0,0,0,0,0,0
SLC44A3,6,2,0,1,11,4
CNN3,839,429,205,91,3502,907
LOC729970,6,5,1,1,15,3
ALG14,73,35,26,7,149,46
ALG14-AS1,0,0,0,0,0,0
TLCD4,3,0,2,0,2,3
TLCD4-RWDD3,2,2,0,0,20,1
LOC101928118,0,0,0,0,0,0
RWDD3,82,44,38,6,208,97
LINC01760,0,0,0,0,0,0
LINC01650,0,0,0,0,0,0
LINC01761,0,0,0,0,0,0
LINC02607,0,0,0,0,0,0
LINC02790,0,0,0,0,0,0
LINC01787,0,0,0,0,0,0
PTBP2,18,14,15,2,106,30
DPYD,6,19,1,1,26,28
DPYD-AS1,0,0,0,0,0,0
DPYD-AS2,0,0,0,0,0,0
LINC01930,1,0,0,1,1,6
MIR137HG,2,5,1,1,8,3
MIR2682,0,0,0,0,0,0
MIR137,0,0,0,0,0,0
LINC01776,0,2,0,0,8,1
SNX7,157,142,53,10,271,175
PLPPR5,0,0,0,0,0,0
LOC100129620,0,0,0,0,0,0
PLPPR4,0,0,0,0,1,1
LINC01708,0,0,0,0,0,0
MIR548N,0,0,0,0,0,0
PALMD,7,1,0,16,4,2
FRRS1,7,4,0,1,65,20
AGL,64,21,15,5,172,67
SLC35A3,53,28,17,8,169,64
MFSD14A,93,24,17,10,186,75
SASS6,31,10,13,2,27,7
TRMT13,19,11,6,3,46,28
LRRC39,10,0,5,1,2,1
DBT,52,25,16,8,92,48
RTCA-AS1,5,4,0,1,14,0
RTCA,217,113,74,27,539,183
MIR553,0,0,0,0,0,0
CDC14A,4,2,0,2,12,9
GPR88,0,0,0,0,0,3
LINC01349,0,0,0,0,1,0
VCAM1,4,38,1,0,158,122
EXTL2,120,71,24,8,333,208
SLC30A7,101,54,26,10,415,191
DPH5,62,53,21,10,149,62
LOC102606465,43,34,12,4,126,65
LOC101928370,0,2,0,0,1,1
S1PR1,1,4,0,0,5,2
LINC01307,0,0,0,0,0,0
OLFM3,0,0,0,0,0,0
DNAJA1P5,0,0,0,0,0,0
COL11A1,2215,621,115,195,2460,879
LOC101928436,0,0,0,0,0,1
RNPC3,35,7,8,4,68,31
AMY2B,6,0,1,1,21,7
ACTG1P4,0,0,0,0,0,0
AMY2A,0,0,0,0,0,0
AMY1C,0,0,0,0,0,0
AMY1A,0,0,0,0,0,0
AMY1B,0,0,0,0,0,0
LOC100129138,0,0,0,0,0,0
LINC01676,0,0,0,0,0,0
LINC01677,0,0,0,0,0,0
LINC01661,0,0,0,0,0,0
PRMT6,42,16,7,3,69,64
NTNG1,2,2,0,2,0,3
VAV3,0,0,0,0,1,7
MIR7852,0,0,0,0,0,0
VAV3-AS1,0,0,0,0,0,0
SLC25A24,205,56,51,12,209,103
NBPF4,0,0,0,0,0,0
NBPF6,0,0,0,0,0,0
FAM102B,13,6,1,0,15,5
HENMT1,15,0,0,1,14,8
PRPF38B,182,68,99,17,267,138
FNDC7,0,0,0,0,0,0
STXBP3,88,28,32,9,184,73
AKNAD1,0,0,0,0,0,1
SPATA42,0,0,0,0,0,0
GPSM2,4,11,0,1,3,6
CLCC1,115,26,23,10,131,48
WDR47,31,12,20,1,52,37
TAF13,24,3,12,4,58,12
TMEM167B,90,41,15,10,268,68
SCARNA2,0,1,0,0,0,0
C1orf194,0,0,0,0,0,0
KIAA1324,5,3,7,0,22,19
SARS1,852,318,236,41,972,612
CELSR2,6,2,4,0,13,4
PSRC1,6,14,3,1,12,7
MYBPHL,0,0,0,0,2,0
SORT1,182,52,46,27,215,127
PSMA5,525,268,311,81,1782,602
SYPL2,1,0,3,0,25,2
ATXN7L2,5,1,1,0,14,5
CYB561D1,13,6,3,4,36,18
AMIGO1,14,0,4,3,12,1
GPR61,0,0,0,0,0,0
GNAI3,296,166,118,35,713,346
MIR197,0,0,0,0,0,0
GNAT2,0,1,0,0,0,0
AMPD2,84,30,24,10,220,90
GSTM4,15,4,8,2,67,18
GSTM2,1,0,0,0,2,0
GSTM1,0,0,0,0,0,0
GSTM5,0,0,0,0,0,0
GSTM3,206,31,81,21,1227,229
EPS8L3,0,0,0,0,0,0
CSF1,14,63,6,3,234,84
AHCYL1,231,155,73,32,1335,597
STRIP1,36,19,6,4,140,39
ALX3,0,0,0,0,0,0
LINC01397,0,0,0,0,0,0
UBL4B,0,0,0,0,0,0
SLC6A17,3,0,0,2,68,3
LINC02586,0,0,0,0,0,0
KCNC4,5,2,2,3,120,28
RBM15-AS1,0,0,0,0,2,0
RBM15,22,7,3,3,57,23
SLC16A4,13,6,3,4,356,19
LAMTOR5,717,360,382,92,2207,802
LAMTOR5-AS1,0,1,1,1,8,4
PROK1,0,0,0,0,8,0
CYMP,0,0,0,0,53,2
CYMP-AS1,0,0,0,0,0,0
KCNA10,0,0,0,0,0,0
KCNA2,0,0,0,0,2,0
KCNA3,0,0,2,0,2,0
CD53,0,0,0,0,0,0
LRIF1,124,28,73,12,166,64
DRAM2,66,78,35,9,273,112
CEPT1,39,11,2,7,105,39
DENND2D,15,0,0,0,11,0
CHI3L2,0,4,1,1,4,0
CHIAP2,0,0,0,0,0,0
CHIA,0,0,0,0,0,0
PIFO,10,1,6,0,33,8
PGBP,0,0,0,0,0,0
OVGP1,0,0,1,0,11,1
WDR77,82,43,27,13,291,55
ATP5PB,340,239,124,37,751,322
C1orf162,0,0,0,0,0,0
TMIGD3,0,0,0,0,2,1
ADORA3,0,0,0,0,0,0
RAP1A,243,81,67,21,530,160
LINC01160,0,0,0,0,1,0
LOC107985184,0,0,0,0,5,1
INKA2,46,5,18,9,70,30
INKA2-AS1,23,2,1,3,28,9
LOC101928718,0,0,0,0,0,0
DDX20,51,11,17,3,104,34
KCND3,0,0,0,0,2,0
KCND3-IT1,0,0,0,0,0,0
KCND3-AS1,0,0,0,0,0,0
LINC01750,4,0,4,1,79,1
CTTNBP2NL,188,38,75,14,229,82
MIR4256,0,0,0,0,0,0
WNT2B,22,1,3,1,26,3
ST7L,41,5,16,1,43,23
CAPZA1,316,149,91,40,1184,552
MOV10,30,31,15,1,83,37
RHOC,2011,866,734,243,2790,1380
PPM1J,10,4,1,0,10,5
TAFA3,0,0,0,0,1,1
LINC01356,1,0,0,0,0,5
MIR11399,0,0,0,0,0,0
SLC16A1,84,70,21,6,337,167
AKR7A2P1,0,0,0,0,0,0
SLC16A1-AS1,8,5,3,0,8,6
LRIG2-DT,1,1,1,0,4,1
LRIG2,36,13,6,2,95,25
LOC643441,0,0,0,0,0,0
MAGI3,9,17,2,0,20,15
PHTF1,58,28,26,11,126,58
RSBN1,48,14,23,4,78,31
AP4B1-AS1,0,0,0,0,0,0
PTPN22,0,3,0,0,1,7
BCL2L15,0,0,0,0,2,0
AP4B1,25,6,2,1,41,11
DCLRE1B,9,5,3,2,22,12
HIPK1-AS1,0,0,0,0,1,1
HIPK1,92,29,25,3,188,80
OLFML3,23,38,0,0,428,103
SYT6,0,0,0,0,0,0
TRIM33,76,29,27,5,140,74
BCAS2,325,128,175,28,722,234
DENND2C,12,2,4,0,26,9
AMPD1,0,0,0,0,0,0
NRAS,110,60,29,6,162,88
CSDE1,937,495,272,84,2105,806
SIKE1,139,78,48,18,331,119
SYCP1,0,0,0,0,0,0
TSHB,0,0,0,0,0,0
TSPAN2,12,1,2,1,18,47
NGF-AS1,0,0,0,0,0,0
NGF,26,17,5,0,11,23
VANGL1,28,20,14,5,71,36
CASQ2,0,0,0,0,0,0
NHLH2,5,0,2,0,5,1
LINC01649,0,0,0,0,0,0
LOC101928977,0,0,0,0,0,0
SLC22A15,30,10,8,4,90,33
MAB21L3,3,0,0,1,10,1
ATP1A1,428,157,142,33,555,326
ATP1A1-AS1,4,1,0,0,7,3
LINC01762,0,0,1,0,0,0
CD58,56,21,26,4,160,117
MIR548AC,0,0,0,0,0,0
IGSF3,0,2,3,0,2,9
MIR320B1,0,0,0,0,0,0
C1orf137,0,0,0,0,0,0
CD2,0,0,0,0,0,0
PTGFRN,85,51,18,6,63,123
CD101,1,1,0,0,1,1
LOC101929099,0,0,0,0,1,0
TTF2,20,7,9,6,27,5
MIR942,0,0,0,0,0,0
TRIM45,3,1,1,0,5,2
VTCN1,0,0,0,0,0,0
LINC01525,0,0,0,0,0,0
MAN1A2,216,83,37,24,341,146
LOC100996263,0,0,0,0,0,0
TENT5C,1,0,0,0,44,0
GDAP2,37,10,17,3,124,29
WDR3,42,30,18,6,124,36
SPAG17,0,0,0,0,0,0
TBX15,0,21,0,0,0,0
LOC105378933,0,0,0,0,0,0
WARS2,18,26,8,3,59,17
WARS2-IT1,0,0,0,0,0,0
WARS2-AS1,14,18,1,1,37,20
LINC01780,0,0,0,0,0,0
HAO2,0,0,0,0,0,0
HAO2-IT1,0,0,0,0,0,0
HSD3B2,0,0,0,0,5,0
HSD3B1,0,0,0,0,10,0
HSD3BP4,0,0,0,0,0,0
LINC00622,3,0,0,1,21,7
ZNF697,6,5,1,3,27,25
PHGDH,682,227,168,24,903,486
HMGCS2,0,0,0,0,0,0
REG4,0,0,0,0,0,0
NBPF7,0,0,0,0,0,0
ADAM30,0,0,0,0,0,0
NOTCH2,124,96,26,15,684,200
SEC22B,244,105,41,19,1347,529
NBPF8,5,2,1,0,18,6
PFN1P2,2,0,1,0,4,0
LOC100996724,15,0,0,0,20,11
NOTCH2NLR,4,5,3,0,18,4
NBPF26,0,3,0,1,4,4
RNVU1-19,0,0,0,0,0,0
PPIAL4A,0,0,0,0,0,0
LINC00623,19,5,5,2,102,5
LOC100996720,0,0,0,0,0,0
RNVU1-20,0,0,0,0,0,0
RNVU1-4,0,0,0,0,0,0
LOC105369199,0,0,2,0,2,0
LOC101929798,0,0,0,0,0,0
H3P4,0,0,0,0,2,1
FCGR1B,0,0,0,0,0,0
LOC100996318,0,0,1,1,4,0
H2BP1,0,0,0,0,0,0
FAM72B,0,0,2,0,0,0
SRGAP2C,50,28,24,3,179,64
SRGAP2-AS1,0,0,0,0,0,0
EMBP1,0,1,0,0,1,0
LSP1P5,240,10,67,5,38,186
RNVU1-17,0,0,0,0,0,0
LOC105369140,0,0,0,0,0,0
LOC644634,0,0,0,0,1,0
H2BP2,0,0,0,0,4,0
FCGR1CP,0,0,0,0,0,0
H3-2,5,0,1,0,3,0
FAM72C,2,0,0,0,2,0
SRGAP2D,3,0,0,0,5,2
